amt,is_fraud,trans_date_trans_time,distance,day_of_week,week_of_month
125.02,0,2019-06-17 23:22:30,48.876478206769406,1,4
3.1,0,2019-12-11 23:22:39,111.47316521882695,3,2
116.25,0,2019-08-02 12:09:07,33.009955560792996,5,1
49.01,0,2019-08-07 23:43:44,48.273248442946404,3,2
158.76,0,2019-10-12 07:42:58,68.25966084141116,6,2
69.08,0,2019-09-07 16:35:23,63.191419440317354,6,1
12.08,0,2019-07-08 16:44:52,103.77304260763073,1,2
20.51,0,2019-06-24 16:49:16,38.94042126973156,1,5
16.63,0,2020-04-12 21:26:47,97.85432735787023,7,3
43.08,0,2019-01-22 13:29:41,41.70580386795137,2,4
99.87,0,2019-05-15 02:07:57,86.89472646347168,3,3
30.56,0,2019-12-21 21:37:17,103.80260755548355,6,3
658.07,0,2019-11-29 11:01:34,104.35972539130566,5,5
69.75,0,2019-10-23 05:37:43,67.87800678768424,3,4
63.14,0,2019-06-03 02:30:37,58.63308687011357,1,2
53.18,0,2019-02-27 14:56:37,96.67694182949052,3,5
62.24,0,2019-03-31 15:04:59,24.077515612643886,7,6
171.13,0,2020-05-12 17:17:52,80.44560406606308,2,3
73.22,0,2019-03-24 23:37:49,14.874558417830485,7,5
36.28,0,2019-02-06 02:39:05,11.745638211985755,3,2
72.45,0,2019-08-12 11:52:46,85.3384025132234,1,3
1.92,0,2019-02-15 06:10:01,50.75477092622134,5,3
67.2,0,2019-10-19 05:29:03,110.06302610468065,6,3
18.92,0,2019-10-02 19:19:51,92.50950902050212,3,1
13.78,0,2019-03-10 16:55:45,124.66034068301397,7,3
77.01,0,2019-05-15 18:38:54,110.30390522069195,3,3
17.42,0,2019-08-26 15:42:06,123.82490166311844,1,5
86.2,0,2019-03-25 10:11:38,119.27627646430146,1,5
49.62,0,2019-11-26 08:41:08,78.27888734292223,2,5
6.19,0,2019-10-20 19:58:49,69.45362505740434,7,4
57.78,0,2020-03-04 08:50:35,113.51527985642319,3,1
72.68,0,2019-08-24 04:22:12,71.01805040769895,6,4
66.39,0,2019-12-30 21:37:05,78.70614404478675,1,5
100.24,0,2019-03-06 10:26:27,101.26247373887135,3,2
