day_of_week,week_of_month,amt,distance,is_fraud
1,4,125.02,48.876478206769406,0
3,2,3.1,111.47316521882695,0
5,1,116.25,33.009955560792996,0
3,2,49.01,48.273248442946404,0
6,2,158.76,68.25966084141116,0
6,1,69.08,63.191419440317354,0
1,2,12.08,103.77304260763073,0
1,5,20.51,38.94042126973156,0
7,3,16.63,97.85432735787023,0
2,4,43.08,41.70580386795137,0
3,3,99.87,86.89472646347168,0
6,3,30.56,103.80260755548355,0
5,5,658.07,104.35972539130566,0
3,4,69.75,67.87800678768424,0
1,2,63.14,58.63308687011357,0
3,5,53.18,96.67694182949052,0
7,6,62.24,24.077515612643886,0
2,3,171.13,80.44560406606308,0
7,5,73.22,14.874558417830485,0
3,2,36.28,11.745638211985755,0
1,3,72.45,85.3384025132234,0
5,3,1.92,50.75477092622134,0
6,3,67.2,110.06302610468065,0
3,1,18.92,92.50950902050212,0
7,3,13.78,124.66034068301397,0
3,3,77.01,110.30390522069195,0
1,5,17.42,123.82490166311844,0
1,5,86.2,119.27627646430146,0
2,5,49.62,78.27888734292223,0
7,4,6.19,69.45362505740434,0
3,1,57.78,113.51527985642319,0
6,4,72.68,71.01805040769895,0
1,5,66.39,78.70614404478675,0
3,2,100.24,101.26247373887135,0
7,3,75.6,108.09226591496795,0
4,3,63.18,58.25886808069376,0
5,3,6.35,126.36471718198072,0
5,1,65.33,39.98227034420525,0
4,2,17.67,38.59421705081091,0
1,2,50.68,105.2163919857382,0
5,5,10.6,69.60546441602332,0
5,5,106.54,46.91765951157026,0
4,5,38.14,107.95155945436984,0
6,2,166.15,99.48620183121211,0
1,2,1.96,78.17665113254918,0
1,2,459.05,16.294584873850816,0
3,4,6.2,44.74776784634367,0
5,2,44.17,66.22103399703946,0
2,3,6.13,102.85831420879089,0
1,4,123.46,62.519915666731954,0
5,4,8.91,122.64469712091444,0
2,2,29.87,27.80450291068988,0
2,4,62.49,33.17885893357474,0
7,3,49.89,117.48574982252292,0
5,1,191.96,98.7433002422856,0
6,4,44.5,50.54002380159822,0
1,2,8.84,72.19979193989536,0
6,1,3.82,123.08918484723853,0
2,1,88.25,27.089814408943102,0
5,1,6.83,65.5028782551698,0
5,3,36.7,60.939476405600765,0
6,3,12.99,131.70811297438766,0
3,4,51.82,62.18622790192437,0
7,5,96.66,94.57272442008983,0
3,3,2.01,106.52070961348781,0
2,3,64.81,20.345417087332486,0
3,3,7.67,108.58256888933558,0
7,3,13.95,43.33221311970302,0
3,5,51.99,111.97615347843714,0
7,5,68.2,72.79922183722572,0
7,5,319.82,44.974638857742235,0
6,2,12.08,71.41864666699888,0
3,3,14.59,81.79640711611192,0
6,3,48.68,113.78107354040944,0
7,5,236.31,70.29052915206066,0
3,3,7.49,110.72554028301947,0
6,3,65.2,126.42603639769776,0
7,5,41.42,33.34174218656612,0
1,5,62.28,36.48922062203489,0
4,4,49.5,94.27034121574918,0
3,4,72.14,71.14365687734883,0
2,2,11.82,60.499524732163216,0
7,1,5.58,78.53672234194731,0
5,1,171.69,63.421088319580285,0
7,2,73.4,114.87174936190091,0
6,4,25.6,100.36288628844827,0
7,2,8.56,96.762596786581,0
2,2,86.14,96.01149730557911,0
5,2,75.94,34.116316522866235,0
6,3,34.32,41.247033321524405,0
7,4,12.09,49.05613676160734,0
2,2,135.39,100.96686342259984,0
3,3,1.1,106.5093153735905,0
2,4,161.89,53.70414440638107,0
1,5,1.31,76.48603233256812,0
7,3,87.8,56.63034968292814,0
6,5,86.74,25.097752009718725,0
4,4,66.1,74.62956892511147,0
6,2,48.18,44.37842905027832,0
1,2,55.37,129.90449492793064,0
1,5,41.07,100.46602530227949,0
6,2,240.58,40.965080455697716,0
1,3,9.32,92.40995342485282,0
4,4,72.34,51.320520726469724,0
5,1,8.03,65.74282730791329,0
4,2,1.78,64.6406727958209,0
6,1,56.15,59.68268745371729,0
5,1,57.98,136.04286988132964,0
5,1,228.2,42.872485719357314,0
6,2,2.55,45.14489778870849,0
2,2,19.58,90.31432768024168,0
7,5,60.77,100.21149710036399,0
2,5,90.56,97.55713461776283,0
1,2,68.97,10.935173038596584,0
2,2,103.96,135.5993311970655,0
5,2,2.63,99.9007152510615,0
5,3,3.53,77.45438956562562,0
1,3,372.72,86.01625825823561,0
3,5,6.34,82.00552661343876,0
5,4,39.02,25.834637144551564,0
6,2,265.96,55.593977667898905,0
3,3,2.91,125.9401862797011,0
4,2,4.57,61.6168130838643,0
2,5,112.56,127.7416585657153,0
1,4,2.59,85.63754535561316,0
5,3,28.39,68.69608901254693,0
6,1,1.46,74.73526412365622,0
4,2,80.17,62.319443154360634,0
7,2,4.15,117.55120678506974,0
1,3,9.47,63.81620888183728,0
2,2,66.72,103.60129778866545,0
1,2,39.12,35.2200039835575,0
7,6,54.28,57.867502079511944,0
1,1,10.33,99.09630178830767,0
4,4,51.7,37.320519013042926,0
6,3,73.11,79.06312697072447,0
5,4,7.39,128.99596115585217,0
6,3,16.39,53.10463902547204,0
2,5,4.24,81.22578658865889,0
4,2,7.37,57.92852850996783,0
4,3,58.27,49.20865745816856,0
6,1,99.92,55.05633967091433,0
1,3,5.04,114.20610216297266,0
7,4,93.9,91.79171804987189,0
1,5,46.37,71.27176304758837,0
7,3,131.9,51.8386989368608,0
6,2,57.21,53.3293558976307,0
3,3,5.16,118.55429783997063,0
7,3,2.21,52.614878553847724,0
7,5,83.74,87.48443751728257,0
5,4,68.71,76.05285237891361,0
1,5,5.23,73.38701822062575,0
2,3,53.4,94.03965991696637,0
4,3,31.6,76.38873652690462,0
4,3,63.49,57.82237829633372,0
5,4,50.24,73.07568948103338,0
4,4,53.37,117.46556291085399,0
1,4,146.29,93.1147843283965,0
3,1,56.16,106.86887610438707,0
7,5,80.5,70.05174560109664,0
3,5,9.53,83.55483624035654,0
6,1,1.44,72.49458133245876,0
4,3,4.88,124.44736080281798,0
1,4,8.65,92.62311435443357,0
1,4,113.42,73.00071094895173,0
7,1,75.08,29.1062695980843,0
6,2,4.97,30.278327675915673,0
5,4,18.87,48.053918014288975,0
6,2,99.41,114.03928884892429,0
3,3,21.21,47.76705570757732,0
1,4,32.54,15.753837736981493,0
2,3,4.56,66.70284775836116,0
3,2,23.41,39.6762349957958,0
7,5,25.97,35.12435649375657,0
2,3,48.01,63.35553988997975,0
1,1,6.21,90.18873515289616,0
5,1,4.72,87.83967462086912,0
5,1,8.83,115.26263192690016,0
6,1,47.95,45.302933323679916,0
6,2,221.98,107.77418869833726,0
6,4,179.58,46.13573378698148,0
7,2,1062.13,22.24404322406603,1
4,4,54.94,81.35925266619647,0
3,2,33.79,75.72694595886502,0
5,2,164.1,63.28229729900733,0
1,5,40.39,98.68428947487702,0
1,2,75.74,88.65288343188686,0
1,5,124.72,112.3986874239564,0
6,1,1.47,76.1480221362824,0
5,4,36.51,28.753853954021494,0
6,2,44.38,115.7522303972865,0
7,4,161.7,79.36023015768606,0
3,3,4.88,41.24376843685584,0
4,1,83.81,93.4945609584294,0
2,1,2.82,88.69080823597554,0
7,1,89.08,83.91240169335516,0
2,1,99.35,107.11923010859145,0
6,2,41.86,55.650699642141646,0
2,5,15.11,74.30362189949447,0
4,3,7.58,101.540804442621,0
3,1,13.12,95.48069856320849,0
6,1,15.69,77.6903303678116,0
7,2,5.64,22.73767262815428,0
7,3,7.13,61.354921112849375,0
7,3,6.92,59.20821731363041,0
5,1,3.17,38.00008729401363,0
4,4,2.35,73.764320152487,0
4,5,31.72,95.15826820885002,0
1,3,98.21,89.2981785547288,0
7,3,33.71,124.91592663275375,0
5,3,1.92,129.80932228908654,0
7,2,1.24,83.1206218441149,0
7,5,30.85,85.30400577113174,0
7,2,132.01,116.50844815813025,0
7,1,158.88,90.81805337339831,0
5,4,6.28,70.03284678371072,0
6,1,52.29,104.17014708633141,0
1,5,36.91,102.21006037390035,0
1,4,21.18,106.25676397458619,0
5,5,12.21,30.380736785095994,0
2,4,48.91,48.224880234795535,0
4,4,57.95,91.68989199377991,0
1,2,55.39,91.40595935396814,0
7,4,74.64,110.7204401463167,0
1,2,8.33,31.732992475200444,0
4,1,95.53,31.24703494646698,0
7,1,11.71,63.33654107719709,0
6,4,113.57,90.19703778327079,0
3,4,68.13,71.14999080520298,0
1,4,102.51,49.11336651894766,0
1,5,61.33,78.68824508916846,0
2,2,37.21,65.35707409485099,0
6,4,6.32,127.78324286643615,0
4,3,51.94,94.35771270164086,0
6,2,35.99,61.167853103336604,0
5,3,104.57,121.02408016696621,0
1,5,1.73,75.06380706997305,0
2,3,137.52,56.47297556626504,0
1,3,33.79,106.19593635088522,0
6,5,8.61,93.86892799911575,0
6,1,19.44,61.68633137293851,0
7,2,93.37,48.91888795309429,0
2,2,61.99,103.84553995835107,0
1,2,53.48,113.8736505246499,0
2,1,96.36,38.68971928833431,0
2,5,215.4,37.95172143822126,0
3,1,2.4,70.34840683609298,0
3,4,4.3,84.36657691233306,0
1,1,26.1,106.83566171351849,0
3,4,83.25,98.09726881107447,0
6,3,96.35,42.76487794890308,0
3,4,73.43,120.34688243278357,0
5,4,4.22,43.82319995232468,0
5,2,16.94,37.74188107028993,0
4,4,39.82,99.43401278147158,0
5,1,60.49,78.49364952924809,0
6,3,98.96,6.87755131396889,0
1,1,63.57,108.86153372981596,0
7,2,5.82,45.567835784347025,0
7,4,39.57,82.71344494394198,0
7,3,6.63,67.563361303186,0
2,2,39.92,58.17048217164342,0
7,3,1.77,72.00485888635063,0
2,2,81.59,110.08258836491372,0
5,2,38.04,31.02602549067406,0
6,1,69.15,76.85102068555308,0
6,2,58.06,96.69857048407492,0
7,4,52.6,29.605574119048377,0
1,4,29.58,103.07725204299376,0
1,2,74.73,102.26119322236335,0
5,1,5.78,60.77328816534023,0
3,4,67.14,77.49357917140676,0
6,1,125.38,2.9366110015829427,0
5,3,67.1,42.5816288865848,0
7,5,32.74,115.18388579726816,0
5,5,9.76,81.70714585347487,0
6,2,237.35,94.1518100563027,0
7,2,48.2,107.94881301969895,0
2,1,18.0,110.61887951164734,0
1,4,32.79,51.29286199170877,0
2,2,63.95,25.843142603743722,0
2,3,103.06,118.77663125082174,0
2,2,4.64,36.254699087358354,0
5,1,19.21,16.187811621611544,0
7,3,174.71,87.08343210545168,0
7,3,6.14,74.55425386553894,0
6,4,46.96,67.3234080598311,0
6,4,81.84,50.053345579168976,0
7,5,57.2,88.4977415392967,0
1,3,50.32,68.6118862019714,0
4,3,46.17,74.99445367372061,0
4,5,73.47,107.5047225741482,0
4,5,4.11,103.63874713745611,0
6,5,71.5,75.11200437929719,0
1,3,131.42,73.8306678170242,0
1,2,18.62,82.83562337789257,0
2,5,69.07,19.743937550046635,0
1,4,21.06,52.88339811730951,0
1,2,152.85,38.582886155703676,0
5,1,12.57,31.27502136072713,0
7,4,4.37,105.9747951489256,0
6,1,55.72,37.07480370216216,0
3,1,8.9,57.72785802304326,0
3,5,9.42,80.7929734735918,0
5,3,6.05,40.13160478757474,0
3,4,211.19,113.16273305799858,0
4,3,51.43,81.40029346682931,0
6,3,35.68,115.10924265557398,0
5,2,39.34,76.8046617798083,0
1,3,50.01,72.96422890437611,0
3,2,18.29,96.82437469800102,0
4,4,190.72,28.532290700722605,0
4,5,21.74,71.83687382571398,0
4,5,30.94,108.83982140012739,0
4,2,9.71,77.72430116908822,0
1,4,97.07,90.05428464843405,0
2,3,40.59,36.5158861303399,0
5,4,39.28,80.30751301250446,0
7,4,6.11,69.16107754117981,0
4,4,18.69,75.76554629894653,0
1,2,2.54,44.97752999775175,0
5,5,11.77,69.91032993572924,0
2,5,107.61,90.65756525549746,0
